Trimestre	Produit intérieur brut (PIB)	
2026-T2	0,0
2026-T1	-0,2
2025-T4	0,3
2025-T3	0,4
2025-T2	0,2
2025-T1	0,2
2024-T4	0,0
2024-T3	0,4
2024-T2	0,2
2024-T1	0,2
2023-T4	0,5
2023-T3	0,4
2023-T2	0,9
2023-T1	0,1
2022-T4	0,4
2022-T3	0,5
2022-T2	0,4
2022-T1	0,0
2021-T4	0,5
2021-T3	3,0
2021-T2	1,2
2021-T1	0,4
2020-T4	0,0
2020-T3	15,1
2020-T2	-12,2
2020-T1	-5,0
2019-T4	-0,5
2019-T3	0,0
2019-T2	0,5
2019-T1	0,9
2018-T4	0,7
2018-T3	0,6
2018-T2	0,2
2018-T1	-0,1
2017-T4	0,6
2017-T3	0,8
2017-T2	0,7
2017-T1	0,7
2016-T4	0,6
2016-T3	0,2
2016-T2	-0,3
2016-T1	0,3
2015-T4	0,3
2015-T3	0,3
2015-T2	0,0
2015-T1	0,6
2014-T4	-0,3
2014-T3	0,7
2014-T2	0,2
2014-T1	0,0
2013-T4	0,6
2013-T3	-0,2
2013-T2	0,9
2013-T1	0,2
2012-T4	-0,1
2012-T3	0,3
2012-T2	-0,4
2012-T1	0,0
2011-T4	0,3
2011-T3	0,3
2011-T2	0,0
2011-T1	1,3
2010-T4	0,6
2010-T3	0,7
2010-T2	0,5
2010-T1	0,3
2009-T4	0,7
2009-T3	0,2
2009-T2	0,2
2009-T1	-1,9
2008-T4	-1,3
2008-T3	-0,2
2008-T2	-0,8
2008-T1	0,9
2007-T4	0,0
2007-T3	0,3
2007-T2	0,7
2007-T1	1,0
2006-T4	0,5
2006-T3	0,1
2006-T2	1,2
2006-T1	0,9
2005-T4	0,7
2005-T3	0,8
2005-T2	0,2
2005-T1	0,3
2004-T4	0,9
2004-T3	0,4
2004-T2	0,4
2004-T1	1,0
2003-T4	0,4
2003-T3	1,1
2003-T2	-0,4
2003-T1	0,3
2002-T4	0,1
2002-T3	0,4
2002-T2	0,5
2002-T1	0,6
2001-T4	-0,4
2001-T3	0,6
2001-T2	0,0
2001-T1	0,5
2000-T4	0,6
2000-T3	0,8
2000-T2	1,1
2000-T1	0,9
1999-T4	1,4
1999-T3	1,5
1999-T2	0,6
1999-T1	0,7
1998-T4	0,7
1998-T3	0,5
1998-T2	0,7
1998-T1	1,0
1997-T4	1,0
1997-T3	1,0
1997-T2	1,0
1997-T1	0,4
1996-T4	0,4
1996-T3	0,4
1996-T2	0,2
1996-T1	0,7
1995-T4	0,0
1995-T3	0,2
1995-T2	0,7
1995-T1	0,5
1994-T4	0,9
1994-T3	0,9
1994-T2	1,0
1994-T1	0,7
1993-T4	0,3
1993-T3	0,1
1993-T2	0,0
1993-T1	-0,5
1992-T4	0,0
1992-T3	-0,1
1992-T2	0,1
1992-T1	0,7
1991-T4	0,5
1991-T3	0,4
1991-T2	0,4
1991-T1	0,3
1990-T4	0,0
1990-T3	0,6
1990-T2	0,5
1990-T1	0,2
1989-T4	1,3
1989-T3	1,1
1989-T2	1,1
1989-T1	1,3
1988-T4	0,8
1988-T3	1,3
1988-T2	0,9
1988-T1	1,3
1987-T4	1,5
1987-T3	0,7
1987-T2	1,5
1987-T1	0,1
1986-T4	0,1
1986-T3	0,5
1986-T2	1,1
1986-T1	0,3
1985-T4	0,5
1985-T3	0,6
1985-T2	0,8
1985-T1	0,3
1984-T4	-0,1
1984-T3	0,6
1984-T2	0,5
1984-T1	0,4
1983-T4	0,6
1983-T3	0,2
1983-T2	0,1
1983-T1	0,4
1982-T4	0,6
1982-T3	-0,1
1982-T2	0,7
1982-T1	0,8
1981-T4	0,6
1981-T3	0,7
1981-T2	0,8
1981-T1	0,4
1980-T4	-0,2
1980-T3	0,2
1980-T2	-0,8
1980-T1	1,2
1979-T4	0,3
1979-T3	1,3
1979-T2	0,5
1979-T1	1,1
1978-T4	1,1
1978-T3	0,6
1978-T2	1,1
1978-T1	1,4
1977-T4	0,8
1977-T3	0,8
1977-T2	0,4
1977-T1	1,1
1976-T4	0,7
1976-T3	1,1
1976-T2	1,4
1976-T1	0,9
1975-T4	2,1
1975-T3	-0,1
1975-T2	0,0
1975-T1	-0,8
1974-T4	-1,8
1974-T3	1,1
1974-T2	0,7
1974-T1	1,6
1973-T4	1,2
1973-T3	1,6
1973-T2	1,5
1973-T1	1,9
1972-T4	1,5
1972-T3	1,4
1972-T2	0,7
1972-T1	1,1
1971-T4	1,0
1971-T3	1,3
1971-T2	1,1
1971-T1	1,6
1970-T4	1,2
1970-T3	1,1
1970-T2	1,8
1970-T1	1,5
1969-T4	1,6
1969-T3	1,4
1969-T2	2,1
1969-T1	0,9
1968-T4	1,1
1968-T3	8,1
1968-T2	-5,3
1968-T1	2,8
1967-T4	1,0
1967-T3	1,0
1967-T2	1,2
1967-T1	1,6
1966-T4	0,6
1966-T3	1,1
1966-T2	1,6
1966-T1	0,8
1965-T4	1,5
1965-T3	1,4
1965-T2	1,9
1965-T1	0,5
1964-T4	1,3
1964-T3	0,9
1964-T2	1,3
1964-T1	2,1
1963-T4	-0,3
1963-T3	3,4
1963-T2	4,5
1963-T1	-0,9
1962-T4	1,1
1962-T3	1,9
1962-T2	1,5
1962-T1	2,1
1961-T4	1,8
1961-T3	0,9
1961-T2	0,6
1961-T1	1,4
1960-T4	1,0
1960-T3	1,7
1960-T2	2,5
1960-T1	2,1
1959-T4	2,5
1959-T3	1,1
1959-T2	1,3
1959-T1	0,2
1958-T4	0,3
1958-T3	-0,2
1958-T2	0,4
1958-T1	1,3
1957-T4	0,3
1957-T3	1,7
1957-T2	0,7
1957-T1	1,9
1956-T4	1,5
1956-T3	1,2
1956-T2	1,7
1956-T1	0,8
1955-T4	1,1
1955-T3	1,5
1955-T2	1,5
1955-T1	1,3
1954-T4	0,8
1954-T3	1,6
1954-T2	1,8
1954-T1	1,5
1953-T4	1,6
1953-T3	0,5
1953-T2	1,6
1953-T1	1,1
1952-T4	-0,2
1952-T3	1,0
1952-T2	-0,5
1952-T1	1,7
1951-T4	1,0
1951-T3	1,4
1951-T2	0,7
1951-T1	0,0
1950-T4	2,4
1950-T3	2,4
1950-T2	2,5
1950-T1	2,7
1949-T4	1,4
1949-T3	1,5
1949-T2	0,9
